ring,pos,pan,tilt,zoom,x_pan,y_tilt
1,E,59.0628,-14.7909,6551,1,1
1,E,64.3109,-14.7909,6551,2,1
1,E,69.559,-14.7909,6551,3,1
1,E,74.8071,-14.7909,6551,4,1
1,E,80.0552,-14.7909,6551,5,1
1,E,85.3033,-14.7909,6551,6,1
1,E,90.5514,-14.7909,6551,7,1
1,E,95.7995,-14.7909,6551,8,1
1,E,101.0476,-14.7909,6551,9,1
1,E,106.2957,-14.7909,6551,10,1
1,E,59.0628,-16.304,6551,1,2
1,E,64.3109,-16.304,6551,2,2
1,E,69.559,-16.304,6551,3,2
1,E,74.8071,-16.304,6551,4,2
1,E,80.0552,-16.304,6551,5,2
1,E,85.3033,-16.304,6551,6,2
1,E,90.5514,-16.304,6551,7,2
1,E,95.7995,-16.304,6551,8,2
1,E,101.0476,-16.304,6551,9,2
1,E,106.2957,-16.304,6551,10,2
1,E,59.0628,-17.8171,6551,1,3
1,E,64.3109,-17.8171,6551,2,3
1,E,69.559,-17.8171,6551,3,3
1,E,74.8071,-17.8171,6551,4,3
1,E,80.0552,-17.8171,6551,5,3
1,E,85.3033,-17.8171,6551,6,3
1,E,90.5514,-17.8171,6551,7,3
1,E,95.7995,-17.8171,6551,8,3
1,E,101.0476,-17.8171,6551,9,3
1,E,106.2957,-17.8171,6551,10,3
1,E,59.0628,-19.3302,6551,1,4
1,E,64.3109,-19.3302,6551,2,4
1,E,69.559,-19.3302,6551,3,4
1,E,74.8071,-19.3302,6551,4,4
1,E,80.0552,-19.3302,6551,5,4
1,E,85.3033,-19.3302,6551,6,4
1,E,90.5514,-19.3302,6551,7,4
1,E,95.7995,-19.3302,6551,8,4
1,E,101.0476,-19.3302,6551,9,4
1,E,106.2957,-19.3302,6551,10,4
1,E,59.0628,-20.8433,6551,1,5
1,E,64.3109,-20.8433,6551,2,5
1,E,69.559,-20.8433,6551,3,5
1,E,74.8071,-20.8433,6551,4,5
1,E,80.0552,-20.8433,6551,5,5
1,E,85.3033,-20.8433,6551,6,5
1,E,90.5514,-20.8433,6551,7,5
1,E,95.7995,-20.8433,6551,8,5
1,E,101.0476,-20.8433,6551,9,5
1,E,106.2957,-20.8433,6551,10,5
1,E,59.0628,-22.3564,6551,1,6
1,E,64.3109,-22.3564,6551,2,6
1,E,69.559,-22.3564,6551,3,6
1,E,74.8071,-22.3564,6551,4,6
1,E,80.0552,-22.3564,6551,5,6
1,E,85.3033,-22.3564,6551,6,6
1,E,90.5514,-22.3564,6551,7,6
1,E,95.7995,-22.3564,6551,8,6
1,E,101.0476,-22.3564,6551,9,6
1,E,106.2957,-22.3564,6551,10,6
1,E,59.0628,-23.8695,6551,1,7
1,E,64.3109,-23.8695,6551,2,7
1,E,69.559,-23.8695,6551,3,7
1,E,74.8071,-23.8695,6551,4,7
1,E,80.0552,-23.8695,6551,5,7
1,E,85.3033,-23.8695,6551,6,7
1,E,90.5514,-23.8695,6551,7,7
1,E,95.7995,-23.8695,6551,8,7
1,E,101.0476,-23.8695,6551,9,7
1,E,106.2957,-23.8695,6551,10,7
1,E,59.0628,-25.3826,6551,1,8
1,E,64.3109,-25.3826,6551,2,8
1,E,69.559,-25.3826,6551,3,8
1,E,74.8071,-25.3826,6551,4,8
1,E,80.0552,-25.3826,6551,5,8
1,E,85.3033,-25.3826,6551,6,8
1,E,90.5514,-25.3826,6551,7,8
1,E,95.7995,-25.3826,6551,8,8
1,E,101.0476,-25.3826,6551,9,8
1,E,106.2957,-25.3826,6551,10,8
